,BARLOCINI BAR AND LOUNGE,BAR,AGEGE LAGOS,AGEGE,AGEGE,SW,NIGERIA,J8CJ+Q8 Lagos,8054053238,"16 Emiloju St, behind Stadium, Agege, Lagos"
,ROCKVIEW BAR AND LOUNGE ,BAR,102212 LAGOS,AGEGE,AGEGE,SW,NIGERIA,J8FM+3V Lagos,8139200130,"30 Shobowale St, Agege 102212, Lagos"
,OVERDRIVE LOUNGE IJAIYE ,BAR ,OGBA ROAD ,AGEGE ,IJAIYE,SW,NIGERIA,J89J+8Q Lagos,8025352760,"89, Ogba Road, after Addide, Lagos"
,VERONICA LOUNGE AND BAR ,BAR,102212 LAGOS ,AGEGE,AGEGE,SW,NIGERIA,J8CM+27 Lagos,7062921886,"Shop 209, Favour Plaza, 303 Old Abeokuta Rd, Agege 102212, Lagos"
,BIMZ  LOUNGE ,BAR ,101232 LAGOS ,AGEGE ,IFAKO,SW,NIGERIA,J8MH+2J Lagos,8183903375,"41-39 Unity Zone, Ifako Agege 101232, Lagos"
,CRESPO BAR AND LOUNGE ,BAR ,101212 LAGOS ,AGEGE,IJAIYE,SW,NIGERIA,J87H+GR Ikeja,8138719268,"Shop No. 216, Phase 1, Ashade Market, Ijaiye 102212, Ikeja"
,3AD PREMIUM LOUNGE ,BAR ,AKOWONJO ROAD ,AGEGE ,AKOWONJO,SW,NIGERIA,J826+W2 Lagos,9066317035,"41 Shasha road, Akowonjo Round about, Akowonjo Rd, opp. Access bank, Lagos"
,SOLOCHUS BAR AND CLUB,BAR ,100001 LAGOS ,AGEGE,AGEGE,SW,NIGERIA,J8GF+RM Lagos,8140108782,"11 Sunmonu St, Agege 100001, Lagos"
,GRAND REPUBLIK BAR & LOUNGE  ,BAR AND GRILL ,ABULE EGBA LAGOS ,AGEGE,ABULE EGBA ,SW,NIGERIA,J8X6+99 Lagos,8131943200,"296 Agege Motor road, Oko-Oba Rd, Abule Egba, Lagos"
,CLASSICS BARS ,BAR ,OGBA ROAD ,AGEGE,OGBA,SW,NIGERIA,J89M+58 Lagos,8064001120,"2, oluwole Street,ogba road agege, 300001, Ogba road agege"
,AVI LOUNGE ,BAR ,102213 LAGOS,AGEGE,ALIMOSHO,SW,NIGERIA,J854+XF Lagos,8063652490,"4 Irepodun St, Alimosho 102213, Lagos"
,TOSDAMKAF BAR ,BAR AND GRILL ,101212 LAGOS ,AGEGE,IPAJA ROAD ,SW,NIGERIA,J8G5+FF Lagos,7035703438,"206 Ipaja Rd, Agege 102212, Lagos"
,GEZ LOUNGE ND RESTAURANT ,LOUNGE ,ABATAN RD ,AGEGE,YAYA ABATAN ,SW,NIGERIA,J8PV+F3 Lagos,8054068457,"22, Yaya Abatan Rd, Lagos"
,LAITANO LOUNGE ,LOUNGE ,101212 LAGOS ,AGEGE,AGEGE ,SW,NIGERIA,J8Q7+Q2 Lagos,8033257332,"Arubo St, Agege 102212, Lagos"
,LOUNGE 95,LOUNGE ,101232 LAGOS ,AGEGE,IFAKO ,SW,NIGERIA,J8RF+M8 Lagos,8107745699,"95 Iju Rd, Ifako Agege 101232, Lagos"
,DE SYNERGI LOUNGE,BAR AND  GRILL,102213 LAGOS ,AGEGE,EGBEDA ,SW,NIGERIA,J825+WH Lagos,8165077484,"163 Akowonjo Rd, Egbeda 102213, Lagos"
,IBILE FOODS AND LOUNGE |ABULE EGBA| BEST RESTAURANT IN LAGOS NIGERIA ,AFRICAN RESTAURANT ,101232 LAGOS ,AGEGE,IFAKO IJAIYE ,SW,NIGERIA,M823+57 Lagos,8039126113,"No 18 Lagos-Abeokuta Expy, beside Mobil Filling Station, Ifako-Ijaiye 101232, Lagos"
,OJULARI BAR ,BAR ,POWA LINE LAGOS ,AGEGE,ELERE ,SW,NIGERIA,J8JC+44 Lagos,8029726488,"Shop No. 49, Elere Police Station, Powa Line, Lagos"
,LOUNGE 526,LOUNGE ,100276 ABULE EGBA ,AGEGE,ABULE EGBA ,SW,NIGERIA,M836+2C Ojokoro,8188554509,"49 Charity road 54 progress college road Alimosho Local Government Area, Abule Egba 100276"
,EASYLIFE BAR ,WINE BAR ,OLUWOLE OLANIYAN STRT ,AGEGE,IYANA IPAJA ,SW,NIGERIA,J8C3+2C Lagos,8036598728,"Iyana Ipaja, Alomosho, Iyana Ipaja, 57 Oluwole Olaniyan St, Agege, Lagos"
,135 BAR RESTAURANT & LOUNGE ,BAR ,101213 LAGOS ,AGEGE,IKOTUN ,SW,NIGERIA,H785+GX Lagos,8021200595,"135 Governor's Rd, Ikotun 102213, Lagos"
,OLIVAZ BAR & LOUNGE ,BAR,OJODU LAGOS ,AGEGE ,OJODU ,SW,NIGERIA,J8WX+53 Lagos,8110281167,"16 Abdullahi Street Ojodu, Lagos"
,ACE LOUNGE ,LOUNGE ,100218 LAGOS,AGEGE,OGBA ,SW,NIGERIA,J8MR+FV Lagos,8127581156,"Odo-eran, 3b Ijaiye Rd, Ogba 100218, Lagos"
,EAGLE LOUNGE ,BAR,101233 LAGOS,AGEGE,OJODU ,SW,NIGERIA,J8VW+F8 Lagos,9038359193,"12 Bintu St, Ojodu 101233, Lagos"
,THE PLACE RESTAURANT AND LOUNGE ,RESTAURANT ,101213 LAGOS ,AGEGE,IKOTUN ,SW,NIGERIA,H749+6M Lagos,8025598405,"79 Egbe Rd, Ikotun 102213, Lagos"
,OLADEKE BAR & LOUNGE ,BAR ,101233 LAGOS ,AGEGE ,OJODU ,SW,NIGERIA,J9V9+F3 Ojodu Berger,8085838781,"49 Oremeta Street, Ojodu 101233, Ojodu Berger"
,CHANELROSE BAR AND LOUNGE ,BAR ,OKO OBA RD ABULE EGBA ,AGEGE ,ABULE EGBA ,SW,NIGERIA,M847+VR Lagos,8143915527,"7 Jonathan cocker iju fagba road Amala junction Ifako ijaye ojokoro, Oko-Oba Rd, Abule Egba, Lagos"
,THE GAMES PLACE LOUNGE AND BAR ,BAR ,OKE ODO LAGOS ,AGEGE ,OKE ODO ,SW,NIGERIA,J7PR+PH Lagos,8141816262,"5 Adesina Street, Ile-Olopa Bus Stop Old Ota Road, Ile Epo, Oke Odo Alimosho Local Government Area Ile-Epo, Oke Odo, Lagos"
,KODELAND SPORTS BAR ,BAR ,100275 LAGOS,AGEGE,ALIMOSHO,SW,NIGERIA,H7XH+HM Lagos,8026190001,"31 Road, E Close, House 1, Gowon Estate FHA Ipaja, Alimosho 100275, Lagos"
,GENESIS RESTAURANT AND BAR ,BAR ,102213 LAGOS,AGEGE,EGBEDA ,SW,NIGERIA,H8V3+F7 Lagos,8033297689,"144 Shasha Rd, Egbeda 102213, Lagos"
,87 GRILL AND BAR ,BAR,102213 LAGOS,AGEGE ,ALIMOSHO,SW,NIGERIA,J76M+2Q Lagos,9056874005,"Church St, Alimosho 102213, Lagos"
,KODELAND SPORTS BAR ,LOUNGE ,102213 LAGOS,AGEGE ,EGBE ,SW,NIGERIA,H76F+M4 Lagos,9038400000,"92 Ikotun - Idimu Rd, Egbe 102213, Lagos"
,RORAL DINERS BAR & CLUB A.K.A ORI OKE BAR ,BAR ,IJU ROAD AGEGE ,AGEGE ,IJU ROAD ,SW,NIGERIA,J8HF+4V Ikeja,8056763410,"Pen - Cinema Round About, 24 Iju Rd, Agege, Ikeja"
,DE PALACE BAR ,BAR ,300001 EGBEDA ,AGEGE ,EGBEDA ,SW,NIGERIA,J73M+G7 Lagos,8060628326,"34, Road, H Close, Gowon Estate, Egbeda, Egbeda 300001, Lagos"
,ZUN PARADISE LOUNGE 7 VIP BAR ,BAR ,102213 LAGOS ,AGEGE ,ABORU ,SW,NIGERIA,J7MJ+V7 Lagos,8033193257,"1 Omoanon Edogun Ave, aboru 102213, Lagos"
,PEDRO BAR ,BAR ,IFAKO-IJAIYE LAGOS ,AGEGE ,IFAKO-IJAIYE ,SW,NIGERIA,M85F+35 Lagos,7065518244,"Fagba Bus Stop, 117 Iju Rd, Ifako-Ijaiye, Lagos"
,RUBIES LOUNGE ,LOUNGE ,102213 LAGOS ,AGEGE ,ALIMOSHO,SW,NIGERIA,J72W+6R Lagos,8133248800,"62 Akowonjo Rd, Alimosho 102213, Lagos"
,6:45 BAR & LOUNGE ,BAR ,102213 LAGOS ,AGEGE ,ABULE EGBA ,SW,NIGERIA,J7WX+WQ Lagos,8033254566,"1-21 Abubakar St, Abule Egba 102213, Lagos"
,KIKI WINE BAR ,BAR ,300001 LAGOS,AGEGE ,OGBA ,SW,NIGERIA,J8VM+3Q Lagos,7038383343,"2 onijomo street haruna inside off college road, Ogba 300001, Lagos"
,IMULE CHAMBER ,BAR,101212 LAGOS ,AGEGE ,IJAIYE,SW,NIGERIA,J8FM+9Q Lagos,8037171569,"Lagos St, Ijaiye 102212, Lagos"
,MOSEBOLATAN COOL BAR ,BAR ,101232 LAGOS ,AGEGE ,AGEGE ,SW,NIGERIA,M88H+6R Lagos,8027518646,"1 Oladele Ogundeji St, Agege 101232, Lagos"
,FULL MOON BAR ,BAR ,OGBA OJODU ,AGEGE ,OGBA OJODU ,SW,NIGERIA,J8HR+VX Ojodu,8136205629,"Oluwole Compound, Ogba, Ojodu"
,MAINTAIN LOUNGE ,BAR ,100218 LAGOS ,AGEGE ,OGBA ,SW,NIGERIA,J8WV+VX Lagos,8022898970,"No 51 ayo alabi street mobil bus stop oke ira lagos ojodu lga lagos Lagos NG, 100218, ogba"
,FAAJI BAR & LOUNGE ,BAR ,IPAJA LAGOS ,AGEGE ,IPAJA  ,SW,NIGERIA,C8V9+J4 Lagos,9062638691,"No. 4 onifade way, off Isaac shonekan ipaja, Lagos"
,K & C EVENTS BAR ,BAR ,102212 LAGOS ,AGEGE ,AGEGE ,SW,NIGERIA,JBV4+GVJ Agege ,8127446568,"J8V4+GVJ, Agege 102212, Lagos"
